咖啡名稱,英文名稱,詳細介紹
濃縮咖啡,Espresso,透過高壓熱水快速穿過研磨得極細的咖啡粉所萃取出的醇厚咖啡。它是許多義式咖啡的基底，表面會有一層濃郁的咖啡脂（Crema），口感強烈、層次豐富，帶有咖啡豆最純粹的香氣與苦甜風味。適合喜歡強烈咖啡口感的人。
美式咖啡,Americano,以義式濃縮咖啡為基底，加入大量熱水稀釋而成。保留了濃縮咖啡的香氣，但大幅降低了苦澀與濃烈感，口感清爽順口，適合喜歡單純咖啡風味、需要提神但不愛太濃烈口感的飲用者。
拿鐵咖啡,Cafe Latte,源自義大利的經典飲品，由濃縮咖啡與大量熱牛奶混合，並在頂部鋪上一層薄薄的奶泡。牛奶的甜味完美中和了咖啡的苦味，口感溫潤柔滑，是接受度極高的咖啡飲品，常配有美麗的拉花藝術，非常適合咖啡新手。
卡布奇諾,Cappuccino,濃縮咖啡、熱牛奶與豐厚奶泡比例約為1:1:1。相較於拿鐵，卡布奇諾擁有更厚實的奶泡層，咖啡風味也更為突出，帶來豐富的口感層次，傳統上還會撒上些許肉桂粉或可可粉增添香氣與視覺效果。
瑪奇朵,Espresso Macchiato,在義大利文中意為「印記」或「斑點」。傳統的義式瑪奇朵是在單份或雙份濃縮咖啡上，輕輕點上一小匙奶泡。它適合想要品嚐濃縮咖啡的強烈風味，但又希望有一絲牛奶柔和口感做點綴的人。
摩卡咖啡,Cafe Mocha,結合了濃縮咖啡、熱牛奶以及巧克力醬或可可粉，頂端常擠上鮮奶油並撒上巧克力碎屑。摩卡融合咖啡的醇厚與巧克力的香甜，是一款偏甜點風格的咖啡。
馥芮白,Flat White,源自紐澳，與拿鐵相似，但使用更細緻、空氣含量較少的微米奶泡，且咖啡比例通常較高。口感比拿鐵更絲滑，咖啡風味更濃郁。
冷萃咖啡,Cold Brew,用冷水或室溫水將粗研磨咖啡粉長時間浸泡萃取而成。因為沒有高溫加熱，酸澀感較低，口感順滑，帶有甘甜尾韻，適合冰飲。
手沖咖啡,Pour Over,透過濾杯與濾紙，用穩定水流萃取咖啡。手沖能展現咖啡豆產地風味、酸甜層次與細緻香氣，適合單品咖啡愛好者。
阿芙佳朵,Affogato,將熱的義式濃縮咖啡澆淋在香草冰淇淋上，介於飲品與甜點之間。冷熱、苦甜交織，常作為餐後甜點。
